Longitude,Latitude,trees,greenery,buidling footpring,roads,paving,SUM_AsthmaHospitalizationsAdults_AverageAnnual,Total_Population,SUM_WeightedMHI,MEAN_heightroof,SUM_Volume,RegressionTree_pm,SVM_pm
,,,,,,,,,,,,,
-74.01403745,40.70490603,42026.556,15615.644,106391.868,73673.336,72112.524,1,4063.665754,131898.1237,250.0848029,258817102,12.48889753,13.82582261
,,,,,,,,,,,,,
-74.01247693,40.7068147,9478.568,2784.716,158386.888,66301.488,72694.38,1,5074.745733,162556,277.8866222,414605348.4,12.48889753,12.51424296
,,,,,,,,,,,,,
-74.01091303,40.70872567,10990.892,2338.292,142981.08,52815.136,100692.856,1,5074.744671,162556,213.8499019,403218404,12.48889753,12.62470887
,,,,,,,,,,,,,
-74.00930602,40.71061581,16769.324,2008.908,135027.376,59228.928,96782.884,1,4822.2109,156888.3251,167.90444,304276359.7,12.48889753,13.58103827
,,,,,,,,,,,,,
-74.00769674,40.71250422,32291.336,4072.156,138360.508,67084.82,68012.78,1,4086.03551,138376.946,149.7764281,203582815.1,12.48889753,13.71249405
,,,,,,,,,,,,,
-74.00611838,40.71440816,32526.252,6637.84,124630.044,71568.288,74282.78,1,3672.250555,127298.0863,111.3580373,173600873.1,12.48889753,13.40609549
,,,,,,,,,,,,,
-74.00452179,40.71630349,16326.244,4390.672,139588.592,70073.52,79267.012,1,3621.363481,128935.9899,114.1711713,197845184.2,12.48889753,13.6680194
,,,,,,,,,,,,,
-74.00291281,40.71819279,10554.5,710.6,158870.096,72594.06,67089,1,3659.038075,127723.3285,83.90414372,133775793.8,14.79944616,12.72138896
,,,,,,,,,,,,,
-74.0013084,40.72008438,2709.476,180.576,173847.036,71261.476,61645.804,1,3603.031706,129526,74.42180015,102896318.7,14.79944616,12.00411444
,,,,,,,,,,,,,
-73.99970522,40.72197658,3427.6,499.092,185249.24,61429.28,59212.208,1,3603.031171,129526,79.02038784,114318949.8,14.79944616,12.28507263
,,,,,,,,,,,,,
-73.99810289,40.72386923,11159.764,4417.424,173496.752,62211.776,58535.048,1,3671.04373,129652.3796,78.45623775,121369847.4,12.48889753,12.44984932
,,,,,,,,,,,,,
-73.99650047,40.72576186,35670.448,8272.22,145947.208,61542.976,58341.932,1,4751.369467,131659.7998,86.72500264,103085009.8,12.48889753,12.0088827
,,,,,,,,,,,,,
-73.99489923,40.72765507,34331.176,4658.192,145339.436,62380.648,63108.804,1,5605.007987,133246,93.35524977,113748352.5,12.48889753,12.27143302
,,,,,,,,,,,,,
-73.99329716,40.7295479,26225.32,3802.964,144979.12,68735.92,65901.88,1,5725.076273,130720.5432,109.4600889,140301530.3,12.48889753,12.85394048
,,,,,,,,,,,,,
-73.99170408,40.73144507,25615.04,2852.432,153470.372,66869.132,60838.228,3,6192.006799,120899.4025,98.71601572,132299199.7,12.48889753,12.6903802
,,,,,,,,,,,,,
